統計項目別,細項,樣本數（人）,未滿18780元（%）,18780~未滿2萬元（%）,2萬~未滿2萬5千元（%）,2萬5千~未滿3萬元（%）,3萬~未滿3萬5千元（%）,3萬5千元~未滿4萬元（%）,4萬~未滿4萬5千元（%）,4萬5千元~未滿5萬元（%）,5萬元及以上（%）,平均每月薪資（元）
性別,男,1679,9.39,5.81,19.75,22.68,19.67,8.04,7.49,3.02,4.17,28494
性別,女,2385,6.55,8.11,26.98,27.94,16.84,7.31,3.24,1.01,2.02,26434
年齡,15-19歲,136,35.73,18.12,32.19,9.25,2.89,1.83,-,-,-,18404
年齡,20-24歲,962,12.11,9.64,31.44,28.22,12.05,3.47,1.45,0.83,0.79,23904
年齡,25-29歲,2966,1.17,3.79,17.82,26.51,23.99,10.85,8.2,2.91,4.77,30779
教育程度,國中及以下,137,20.9,14.09,28.43,19.14,7.3,3.39,3.63,1.77,1.36,22969
教育程度,高中（職）,1020,16.96,12.83,30.5,21.45,12.08,3.33,1.83,0.6,0.43,22737
教育程度,專科,285,4.21,7.58,26.27,27.41,20.79,5.05,5.76,1.09,1.84,27098
教育程度,大學,2313,2.76,3.81,21.52,30.96,23.1,8.63,4.84,1.69,2.68,28710
教育程度,碩士及以上,309,1.02,-,3.25,6.63,14.88,23.4,22.53,10.17,18.11,40668
專科以上科系,人文,535,5.34,3.73,26.53,32.86,18.56,7.83,2.91,1,1.25,26977
專科以上科系,社會,1286,2.08,4.71,22.93,30.7,22.67,9.05,4.81,0.67,2.39,28466
專科以上科系,科技,1086,2.12,2.73,13.43,22.15,22.67,12.05,11.32,5.48,8.06,32941
