統計項目別,細項,樣本數（人）,未滿2萬元（%）,2萬~未滿2萬5千元（%）,2萬5千~未滿3萬元（%）,3萬~未滿3萬5千元（%）,3萬5千元~未滿4萬元（%）,4萬~未滿4萬5千元（%）,4萬5千元~未滿5萬元（%）,5萬元及以上（%）,平均每月薪資（元）
性別,男,1641,8.33,17.46,22.96,21.70,11.92,8.22,5.10,4.32,30449
性別,女,2406,6.92,21.14,30.94,22.26,9.94,5.09,1.82,1.88,28479
年齡,15-19歲,129,37.50,33.75,23.48,4.68,0.00,0.00,0.00,0.58,20171
年齡,20-24歲,1061,12.62,28.97,29.25,18.76,6.08,3.16,0.78,0.37,25868
年齡,25-29歲,2857,1.28,12.42,26.37,25.83,14.81,9.26,5.22,4.80,32472
教育程度,國中及以下,72,30.15,30.50,18.25,9.34,2.82,7.51,0.09,1.33,23399
教育程度,高中（職）,796,17.91,32.23,29.88,12.09,4.05,2.72,0.87,0.24,24166
教育程度,專科,200,9.55,24.73,26.41,16.46,13.44,5.48,3.58,0.36,28185
教育程度,大學,2599,3.00,15.49,29.89,27.81,12.55,6.07,2.67,2.52,30292
教育程度,碩士及以上,380,0.81,3.15,5.21,18.43,19.71,20.68,15.84,16.17,40681
專科以上科系,人文,669,3.33,18.41,33.18,27.70,10.53,4.06,1.54,1.26,29081
專科以上科系,社會,1329,2.57,17.09,29.48,28.14,11.92,6.43,1.39,2.98,30197
專科以上科系,科技,1240,3.80,10.79,20.48,22.22,16.34,11.39,8.65,6.33,33731
